p1,p2,p3,p4,p5,p6,middle,last,p(30%),middle(30%),last(40%),score(100%)
100,100,100,100,92,100,72,126,29.6,22.74,28,80.34
100,100,100,100,91,100,95,82,29.55,30,18.22,77.77
100,100,100,100,89,100,85,93,29.45,26.84,20.67,76.96
100,100,100,100,94,100,87,84,29.7,27.47,18.67,75.84
100,100,100,100,0,100,95,93,25,30,20.67,75.67
100,100,100,100,0,100,62,115,25,19.58,25.56,70.13
100,100,100,100,93,100,54,105,29.65,17.05,23.33,70.04
100,100,100,100,0,100,82,82,25,25.89,18.22,69.12
100,100,100,100,96,100,77,53.5,29.8,24.32,11.89,66
100,100,100,100,90,100,88,37,29.5,27.79,8.22,65.51
100,100,100,100,89,100,40,95,29.45,12.63,21.11,63.19
100,100,100,100,96,100,60,64,29.8,18.95,14.22,62.97
100,100,100,100,80,100,35,94,29,11.05,20.89,60.94
100,100,90,100,83,100,33,80,28.65,10.42,17.78,56.85
100,80,100,100,0,100,42,61,24,13.26,13.56,50.82
100,100,100,100,58.8,100,32,49,27.94,10.11,10.89,48.93
100,100,0,100,57,100,45,49,22.85,14.21,10.89,47.95
100,100,100,100,77,100,15,48,28.85,4.74,10.67,44.25
100,90,100,100,83,0,45,26,23.65,14.21,5.78,43.64
100,100,100,100,91,100,30,13,29.55,9.47,2.89,41.91
100,100,100,100,68,0,23,45,23.4,7.26,10,40.66
90,100,80,100,90,100,20,0,28,6.32,0,34.32
100,100,70,20,0,100,24,28,19.5,7.58,6.22,33.3
100,100,100,100,72,100,0,20.5,28.6,0,4.56,33.16
100,50,40,10,57.4,0,28,30,12.87,8.84,6.67,28.38
90,100,20,0,0,0,33,33,10.5,10.42,7.33,28.25
100,20,90,100,0,0,20,21,15.5,6.32,4.67,26.48
100,100,100,10,83,100,0,8,24.65,0,1.78,26.43
100,50,100,0,0,0,12,34,12.5,3.79,7.56,23.85
0,100,90,100,0,100,13,1,19.5,4.11,0.22,23.83
100,50,100,0,0,0,14,29,12.5,4.42,6.44,23.37
0,20,20,100,37,100,1,8,13.85,0.32,1.78,15.94
100,90,0,0,0,0,7,8.5,9.5,2.21,1.89,13.6
90,100,20,0,0,0,0,6,10.5,0,1.33,11.83
90,70,0,0,33,0,5,2,9.65,1.58,0.44,11.67
100,100,0,0,0,0,0,0,10,0,0,10
100,70,0,0,0,0,0,0,8.5,0,0,8.5
100,0,0,0,0,0,0,0,5,0,0,5
0,0,0,0,0,0,10,0,0,3.16,0,3.16
100,100,100,100,98.5,100,65,134,29.93,20.53,29.78,80.23
100,100,100,100,98,100,88,77,29.9,27.79,17.11,74.8
100,100,100,100,99,10,67,124,25.45,21.16,27.56,74.16
100,100,100,100,97,100,58,87,29.85,18.32,19.33,67.5
100,100,100,100,95,100,70,62,29.75,22.11,13.78,65.63
100,100,100,100,0,100,82,55,25,25.89,12.22,63.12
0,100,100,100,88.5,100,44,108,24.43,13.89,24,62.32
100,100,100,100,98,100,42,84,29.9,13.26,18.67,61.83
100,100,100,100,93.5,100,64,52,29.68,20.21,11.56,61.44
90,80,100,100,94,100,55,71,28.2,17.37,15.78,61.35
70,100,90,100,93,70,57,64,26.15,18,14.22,58.37
100,100,100,100,94.5,100,59,44,29.73,18.63,9.78,58.13
100,100,100,100,94.5,100,41,66,29.73,12.95,14.67,57.34
100,100,100,100,93.5,100,39,68,29.68,12.32,15.11,57.1
100,100,100,100,94,100,61,30,29.7,19.26,6.67,55.63
100,100,100,100,92,100,35,66,29.6,11.05,14.67,55.32
100,100,100,100,96.5,100,41,54,29.83,12.95,12,54.77
100,100,100,100,95,100,18,73,29.75,5.68,16.22,51.66
100,100,100,100,97.5,90,27,59,29.38,8.53,13.11,51.01
100,100,100,100,93.5,100,34,37,29.68,10.74,8.22,48.63
100,100,100,100,68.5,100,37,38,28.43,11.68,8.44,48.55
100,80,100,100,83.5,0,48,45,23.18,15.16,10,48.33
100,100,100,100,93,100,36,31,29.65,11.37,6.89,47.91
100,100,100,100,94,100,27,37,29.7,8.53,8.22,46.45
100,100,100,100,96,100,33,28,29.8,10.42,6.22,46.44
100,100,100,100,0,100,40,39,25,12.63,8.67,46.3
100,80,100,100,80.5,100,17,54,28.03,5.37,12,45.39
100,100,100,100,96.5,100,25,31,29.83,7.89,6.89,44.61
100,100,100,100,0,100,15,63,25,4.74,14,43.74
100,100,100,100,91,100,12,21,29.55,3.79,4.67,38.01
