p1,p2,p3,p4,p5,p6,middle,last,p(30%),middle(30%),last(40%),score(100%)
100,100,100,100,92,100,75.78947368,70,29.6,22.74,28,80.34
100,100,100,100,91,100,100,45.55555556,29.55,30,18.22,77.77
100,100,100,100,89,100,89.47368421,51.66666667,29.45,26.84,20.67,76.96
100,100,100,100,94,100,91.57894737,46.66666667,29.7,27.47,18.67,75.84
100,100,100,100,0,100,100,51.66666667,25,30,20.67,75.67
100,100,100,100,0,100,65.26315789,63.88888889,25,19.58,25.56,70.13
100,100,100,100,93,100,56.84210526,58.33333333,29.65,17.05,23.33,70.04
100,100,100,100,0,100,86.31578947,45.55555556,25,25.89,18.22,69.12
100,100,100,100,96,100,81.05263158,29.72222222,29.8,24.32,11.89,66
100,100,100,100,90,100,92.63157895,20.55555556,29.5,27.79,8.22,65.51
100,100,100,100,89,100,42.10526316,52.77777778,29.45,12.63,21.11,63.19
100,100,100,100,96,100,63.15789474,35.55555556,29.8,18.95,14.22,62.97
100,100,100,100,80,100,36.84210526,52.22222222,29,11.05,20.89,60.94
100,100,90,100,83,100,34.73684211,44.44444444,28.65,10.42,17.78,56.85
100,80,100,100,0,100,44.21052632,33.88888889,24,13.26,13.56,50.82
100,100,100,100,58.8,100,33.68421053,27.22222222,27.94,10.11,10.89,48.93
100,100,0,100,57,100,47.36842105,27.22222222,22.85,14.21,10.89,47.95
100,100,100,100,77,100,15.78947368,26.66666667,28.85,4.74,10.67,44.25
100,90,100,100,83,0,47.36842105,14.44444444,23.65,14.21,5.78,43.64
100,100,100,100,91,100,31.57894737,7.222222222,29.55,9.47,2.89,41.91
100,100,100,100,68,0,24.21052632,25,23.4,7.26,10,40.66
90,100,80,100,90,100,21.05263158,0,28,6.32,0,34.32
100,100,70,20,0,100,25.26315789,15.55555556,19.5,7.58,6.22,33.3
100,100,100,100,72,100,0,11.38888889,28.6,0,4.56,33.16
100,50,40,10,57.4,0,29.47368421,16.66666667,12.87,8.84,6.67,28.38
90,100,20,0,0,0,34.73684211,18.33333333,10.5,10.42,7.33,28.25
100,20,90,100,0,0,21.05263158,11.66666667,15.5,6.32,4.67,26.48
100,100,100,10,83,100,0,4.444444444,24.65,0,1.78,26.43
100,50,100,0,0,0,12.63157895,18.88888889,12.5,3.79,7.56,23.85
